policy,case_id,kind,split,condition,task_index,layout,endpoint,steps
native,Sx_05_26_combined,S,validation,combined,5,Sx_05_26,True,255
best,Sx_05_26_combined,S,validation,combined,5,Sx_05_26,True,280
stage2_best,Sx_05_26_combined,S,validation,combined,5,Sx_05_26,True,305
native,Sx_05_34_normal,S,validation,normal,5,Sx_05_34,True,235
best,Sx_05_34_normal,S,validation,normal,5,Sx_05_34,True,260
stage2_best,Sx_05_34_normal,S,validation,normal,5,Sx_05_34,True,295
native,Sx_05_34_camera,S,validation,camera,5,Sx_05_34,True,225
best,Sx_05_34_camera,S,validation,camera,5,Sx_05_34,True,295
stage2_best,Sx_05_34_camera,S,validation,camera,5,Sx_05_34,True,290
native,Sx_05_34_lighting,S,validation,lighting,5,Sx_05_34,True,235
best,Sx_05_34_lighting,S,validation,lighting,5,Sx_05_34,True,260
stage2_best,Sx_05_34_lighting,S,validation,lighting,5,Sx_05_34,True,245
native,Sx_05_34_combined,S,validation,combined,5,Sx_05_34,True,240
best,Sx_05_34_combined,S,validation,combined,5,Sx_05_34,True,255
stage2_best,Sx_05_34_combined,S,validation,combined,5,Sx_05_34,True,245
native,Sx_05_44_normal,S,validation,normal,5,Sx_05_44,True,250
best,Sx_05_44_normal,S,validation,normal,5,Sx_05_44,True,275
stage2_best,Sx_05_44_normal,S,validation,normal,5,Sx_05_44,False,500
native,Sx_05_44_camera,S,validation,camera,5,Sx_05_44,True,315
best,Sx_05_44_camera,S,validation,camera,5,Sx_05_44,True,255
stage2_best,Sx_05_44_camera,S,validation,camera,5,Sx_05_44,True,275
native,Sx_05_44_lighting,S,validation,lighting,5,Sx_05_44,True,250
best,Sx_05_44_lighting,S,validation,lighting,5,Sx_05_44,True,275
stage2_best,Sx_05_44_lighting,S,validation,lighting,5,Sx_05_44,True,285
native,Sx_05_44_combined,S,validation,combined,5,Sx_05_44,True,330
best,Sx_05_44_combined,S,validation,combined,5,Sx_05_44,True,275
stage2_best,Sx_05_44_combined,S,validation,combined,5,Sx_05_44,True,270
native,Sx_10_22_normal,S,train,normal,10,Sx_10_22,True,140
best,Sx_10_22_normal,S,train,normal,10,Sx_10_22,True,120
stage2_best,Sx_10_22_normal,S,train,normal,10,Sx_10_22,True,120
native,Sx_10_22_camera,S,train,camera,10,Sx_10_22,False,300
best,Sx_10_22_camera,S,train,camera,10,Sx_10_22,False,300
stage2_best,Sx_10_22_camera,S,train,camera,10,Sx_10_22,True,185
native,Sx_10_22_lighting,S,train,lighting,10,Sx_10_22,True,140
best,Sx_10_22_lighting,S,train,lighting,10,Sx_10_22,True,120
stage2_best,Sx_10_22_lighting,S,train,lighting,10,Sx_10_22,True,120
native,Sx_10_22_combined,S,train,combined,10,Sx_10_22,False,300
best,Sx_10_22_combined,S,train,combined,10,Sx_10_22,False,300
stage2_best,Sx_10_22_combined,S,train,combined,10,Sx_10_22,False,300
native,Sx_10_26_normal,S,train,normal,10,Sx_10_26,True,125
best,Sx_10_26_normal,S,train,normal,10,Sx_10_26,True,140
stage2_best,Sx_10_26_normal,S,train,normal,10,Sx_10_26,True,125
native,Sx_10_26_camera,S,train,camera,10,Sx_10_26,True,130
best,Sx_10_26_camera,S,train,camera,10,Sx_10_26,True,155
stage2_best,Sx_10_26_camera,S,train,camera,10,Sx_10_26,True,125
native,Sx_10_26_lighting,S,train,lighting,10,Sx_10_26,True,115
best,Sx_10_26_lighting,S,train,lighting,10,Sx_10_26,False,300
stage2_best,Sx_10_26_lighting,S,train,lighting,10,Sx_10_26,True,135
native,Sx_10_26_combined,S,train,combined,10,Sx_10_26,True,135
best,Sx_10_26_combined,S,train,combined,10,Sx_10_26,True,135
stage2_best,Sx_10_26_combined,S,train,combined,10,Sx_10_26,True,125
native,Sx_10_34_normal,S,train,normal,10,Sx_10_34,True,135
best,Sx_10_34_normal,S,train,normal,10,Sx_10_34,False,300
stage2_best,Sx_10_34_normal,S,train,normal,10,Sx_10_34,True,140
native,Sx_10_34_camera,S,train,camera,10,Sx_10_34,True,130
best,Sx_10_34_camera,S,train,camera,10,Sx_10_34,True,235
stage2_best,Sx_10_34_camera,S,train,camera,10,Sx_10_34,True,120
native,Sx_10_34_lighting,S,train,lighting,10,Sx_10_34,True,135
best,Sx_10_34_lighting,S,train,lighting,10,Sx_10_34,True,125
stage2_best,Sx_10_34_lighting,S,train,lighting,10,Sx_10_34,False,300
native,Sx_10_34_combined,S,train,combined,10,Sx_10_34,True,140
best,Sx_10_34_combined,S,train,combined,10,Sx_10_34,True,150
stage2_best,Sx_10_34_combined,S,train,combined,10,Sx_10_34,True,125
native,Sx_10_44_normal,S,train,normal,10,Sx_10_44,True,135
best,Sx_10_44_normal,S,train,normal,10,Sx_10_44,True,150
stage2_best,Sx_10_44_normal,S,train,normal,10,Sx_10_44,True,135
native,Sx_10_44_camera,S,train,camera,10,Sx_10_44,False,300
best,Sx_10_44_camera,S,train,camera,10,Sx_10_44,True,210
stage2_best,Sx_10_44_camera,S,train,camera,10,Sx_10_44,True,135
native,Sx_10_44_lighting,S,train,lighting,10,Sx_10_44,True,120
best,Sx_10_44_lighting,S,train,lighting,10,Sx_10_44,True,140
stage2_best,Sx_10_44_lighting,S,train,lighting,10,Sx_10_44,True,135
native,Sx_10_44_combined,S,train,combined,10,Sx_10_44,False,300
best,Sx_10_44_combined,S,train,combined,10,Sx_10_44,True,210
stage2_best,Sx_10_44_combined,S,train,combined,10,Sx_10_44,False,300
native,Sx_15_22_normal,S,train,normal,15,Sx_15_22,True,85
best,Sx_15_22_normal,S,train,normal,15,Sx_15_22,True,100
stage2_best,Sx_15_22_normal,S,train,normal,15,Sx_15_22,True,90
native,Sx_15_22_camera,S,train,camera,15,Sx_15_22,True,85
best,Sx_15_22_camera,S,train,camera,15,Sx_15_22,True,95
stage2_best,Sx_15_22_camera,S,train,camera,15,Sx_15_22,True,95
native,Sx_15_22_lighting,S,train,lighting,15,Sx_15_22,True,85
best,Sx_15_22_lighting,S,train,lighting,15,Sx_15_22,True,100
stage2_best,Sx_15_22_lighting,S,train,lighting,15,Sx_15_22,True,95
native,Sx_15_22_combined,S,train,combined,15,Sx_15_22,True,90
best,Sx_15_22_combined,S,train,combined,15,Sx_15_22,True,100
stage2_best,Sx_15_22_combined,S,train,combined,15,Sx_15_22,False,300
native,Sx_15_26_normal,S,train,normal,15,Sx_15_26,True,90
best,Sx_15_26_normal,S,train,normal,15,Sx_15_26,True,95
stage2_best,Sx_15_26_normal,S,train,normal,15,Sx_15_26,True,85
native,Sx_15_26_camera,S,train,camera,15,Sx_15_26,True,85
best,Sx_15_26_camera,S,train,camera,15,Sx_15_26,True,90
stage2_best,Sx_15_26_camera,S,train,camera,15,Sx_15_26,True,90
native,Sx_15_26_lighting,S,train,lighting,15,Sx_15_26,True,90
best,Sx_15_26_lighting,S,train,lighting,15,Sx_15_26,True,95
stage2_best,Sx_15_26_lighting,S,train,lighting,15,Sx_15_26,True,85
native,Sx_15_26_combined,S,train,combined,15,Sx_15_26,True,75
best,Sx_15_26_combined,S,train,combined,15,Sx_15_26,True,90
stage2_best,Sx_15_26_combined,S,train,combined,15,Sx_15_26,True,90
native,Sx_15_34_normal,S,train,normal,15,Sx_15_34,True,90
best,Sx_15_34_normal,S,train,normal,15,Sx_15_34,True,90
stage2_best,Sx_15_34_normal,S,train,normal,15,Sx_15_34,True,85
native,Sx_15_34_camera,S,train,camera,15,Sx_15_34,True,90
best,Sx_15_34_camera,S,train,camera,15,Sx_15_34,True,90
stage2_best,Sx_15_34_camera,S,train,camera,15,Sx_15_34,True,95
native,Sx_15_34_lighting,S,train,lighting,15,Sx_15_34,True,90
best,Sx_15_34_lighting,S,train,lighting,15,Sx_15_34,True,90
stage2_best,Sx_15_34_lighting,S,train,lighting,15,Sx_15_34,True,85
native,Sx_15_34_combined,S,train,combined,15,Sx_15_34,True,90
best,Sx_15_34_combined,S,train,combined,15,Sx_15_34,True,95
stage2_best,Sx_15_34_combined,S,train,combined,15,Sx_15_34,True,90
native,Sx_15_44_normal,S,train,normal,15,Sx_15_44,True,80
best,Sx_15_44_normal,S,train,normal,15,Sx_15_44,True,85
stage2_best,Sx_15_44_normal,S,train,normal,15,Sx_15_44,True,90
native,Sx_15_44_camera,S,train,camera,15,Sx_15_44,True,80
best,Sx_15_44_camera,S,train,camera,15,Sx_15_44,True,85
stage2_best,Sx_15_44_camera,S,train,camera,15,Sx_15_44,True,85
native,Sx_15_44_lighting,S,train,lighting,15,Sx_15_44,True,80
best,Sx_15_44_lighting,S,train,lighting,15,Sx_15_44,True,90
stage2_best,Sx_15_44_lighting,S,train,lighting,15,Sx_15_44,True,85
native,Sx_15_44_combined,S,train,combined,15,Sx_15_44,True,80
best,Sx_15_44_combined,S,train,combined,15,Sx_15_44,True,85
stage2_best,Sx_15_44_combined,S,train,combined,15,Sx_15_44,True,90
native,Sx_20_22_normal,S,train,normal,20,Sx_20_22,True,145
best,Sx_20_22_normal,S,train,normal,20,Sx_20_22,True,145
stage2_best,Sx_20_22_normal,S,train,normal,20,Sx_20_22,True,135
native,Sx_20_22_camera,S,train,camera,20,Sx_20_22,True,145
best,Sx_20_22_camera,S,train,camera,20,Sx_20_22,True,130
stage2_best,Sx_20_22_camera,S,train,camera,20,Sx_20_22,True,140
native,Sx_20_22_lighting,S,train,lighting,20,Sx_20_22,True,135
best,Sx_20_22_lighting,S,train,lighting,20,Sx_20_22,True,140
stage2_best,Sx_20_22_lighting,S,train,lighting,20,Sx_20_22,True,140
native,Sx_20_22_combined,S,train,combined,20,Sx_20_22,True,160
best,Sx_20_22_combined,S,train,combined,20,Sx_20_22,True,140
stage2_best,Sx_20_22_combined,S,train,combined,20,Sx_20_22,True,145
native,Sx_20_26_normal,S,train,normal,20,Sx_20_26,True,130
best,Sx_20_26_normal,S,train,normal,20,Sx_20_26,True,170
stage2_best,Sx_20_26_normal,S,train,normal,20,Sx_20_26,True,145
native,Sx_20_26_camera,S,train,camera,20,Sx_20_26,True,150
best,Sx_20_26_camera,S,train,camera,20,Sx_20_26,True,145
stage2_best,Sx_20_26_camera,S,train,camera,20,Sx_20_26,True,145
native,Sx_20_26_lighting,S,train,lighting,20,Sx_20_26,True,130
best,Sx_20_26_lighting,S,train,lighting,20,Sx_20_26,True,155
stage2_best,Sx_20_26_lighting,S,train,lighting,20,Sx_20_26,True,150
native,Sx_20_26_combined,S,train,combined,20,Sx_20_26,True,160
best,Sx_20_26_combined,S,train,combined,20,Sx_20_26,True,140
stage2_best,Sx_20_26_combined,S,train,combined,20,Sx_20_26,True,150
native,Sx_20_34_normal,S,train,normal,20,Sx_20_34,True,140
best,Sx_20_34_normal,S,train,normal,20,Sx_20_34,True,135
stage2_best,Sx_20_34_normal,S,train,normal,20,Sx_20_34,True,145
native,Sx_20_34_camera,S,train,camera,20,Sx_20_34,True,135
best,Sx_20_34_camera,S,train,camera,20,Sx_20_34,True,160
stage2_best,Sx_20_34_camera,S,train,camera,20,Sx_20_34,True,140
native,Sx_20_34_lighting,S,train,lighting,20,Sx_20_34,True,140
best,Sx_20_34_lighting,S,train,lighting,20,Sx_20_34,True,150
stage2_best,Sx_20_34_lighting,S,train,lighting,20,Sx_20_34,True,155
native,Sx_20_34_combined,S,train,combined,20,Sx_20_34,True,155
best,Sx_20_34_combined,S,train,combined,20,Sx_20_34,True,145
stage2_best,Sx_20_34_combined,S,train,combined,20,Sx_20_34,True,145
native,Sx_20_44_normal,S,train,normal,20,Sx_20_44,True,175
best,Sx_20_44_normal,S,train,normal,20,Sx_20_44,True,170
stage2_best,Sx_20_44_normal,S,train,normal,20,Sx_20_44,True,145
native,Sx_20_44_camera,S,train,camera,20,Sx_20_44,True,145
best,Sx_20_44_camera,S,train,camera,20,Sx_20_44,False,300
stage2_best,Sx_20_44_camera,S,train,camera,20,Sx_20_44,True,135
native,Sx_20_44_lighting,S,train,lighting,20,Sx_20_44,True,135
best,Sx_20_44_lighting,S,train,lighting,20,Sx_20_44,True,180
stage2_best,Sx_20_44_lighting,S,train,lighting,20,Sx_20_44,True,145
native,Sx_20_44_combined,S,train,combined,20,Sx_20_44,True,130
best,Sx_20_44_combined,S,train,combined,20,Sx_20_44,True,170
stage2_best,Sx_20_44_combined,S,train,combined,20,Sx_20_44,True,170
native,Sx_25_22_normal,S,train,normal,25,Sx_25_22,True,130
best,Sx_25_22_normal,S,train,normal,25,Sx_25_22,True,130
stage2_best,Sx_25_22_normal,S,train,normal,25,Sx_25_22,True,130
native,Sx_25_22_camera,S,train,camera,25,Sx_25_22,True,130
best,Sx_25_22_camera,S,train,camera,25,Sx_25_22,True,130
stage2_best,Sx_25_22_camera,S,train,camera,25,Sx_25_22,True,130
native,Sx_25_22_lighting,S,train,lighting,25,Sx_25_22,True,130
best,Sx_25_22_lighting,S,train,lighting,25,Sx_25_22,True,130
stage2_best,Sx_25_22_lighting,S,train,lighting,25,Sx_25_22,True,130
native,Sx_25_22_combined,S,train,combined,25,Sx_25_22,True,140
best,Sx_25_22_combined,S,train,combined,25,Sx_25_22,True,135
stage2_best,Sx_25_22_combined,S,train,combined,25,Sx_25_22,True,130
native,Sx_25_26_normal,S,train,normal,25,Sx_25_26,True,135
best,Sx_25_26_normal,S,train,normal,25,Sx_25_26,True,150
stage2_best,Sx_25_26_normal,S,train,normal,25,Sx_25_26,True,155
native,Sx_25_26_camera,S,train,camera,25,Sx_25_26,True,130
best,Sx_25_26_camera,S,train,camera,25,Sx_25_26,True,135
stage2_best,Sx_25_26_camera,S,train,camera,25,Sx_25_26,True,135
native,Sx_25_26_lighting,S,train,lighting,25,Sx_25_26,True,140
best,Sx_25_26_lighting,S,train,lighting,25,Sx_25_26,True,155
stage2_best,Sx_25_26_lighting,S,train,lighting,25,Sx_25_26,True,145
native,Sx_25_26_combined,S,train,combined,25,Sx_25_26,True,135
best,Sx_25_26_combined,S,train,combined,25,Sx_25_26,True,135
stage2_best,Sx_25_26_combined,S,train,combined,25,Sx_25_26,True,140
native,Sx_25_34_normal,S,train,normal,25,Sx_25_34,True,125
best,Sx_25_34_normal,S,train,normal,25,Sx_25_34,True,160
stage2_best,Sx_25_34_normal,S,train,normal,25,Sx_25_34,True,185
native,Sx_25_34_camera,S,train,camera,25,Sx_25_34,True,135
best,Sx_25_34_camera,S,train,camera,25,Sx_25_34,True,135
stage2_best,Sx_25_34_camera,S,train,camera,25,Sx_25_34,True,135
native,Sx_25_34_lighting,S,train,lighting,25,Sx_25_34,True,130
best,Sx_25_34_lighting,S,train,lighting,25,Sx_25_34,True,140
stage2_best,Sx_25_34_lighting,S,train,lighting,25,Sx_25_34,True,150
native,Sx_25_34_combined,S,train,combined,25,Sx_25_34,True,130
best,Sx_25_34_combined,S,train,combined,25,Sx_25_34,True,130
stage2_best,Sx_25_34_combined,S,train,combined,25,Sx_25_34,True,140
native,Sx_25_44_normal,S,train,normal,25,Sx_25_44,True,130
best,Sx_25_44_normal,S,train,normal,25,Sx_25_44,True,135
stage2_best,Sx_25_44_normal,S,train,normal,25,Sx_25_44,True,140
native,Sx_25_44_camera,S,train,camera,25,Sx_25_44,True,125
best,Sx_25_44_camera,S,train,camera,25,Sx_25_44,True,165
stage2_best,Sx_25_44_camera,S,train,camera,25,Sx_25_44,True,140
native,Sx_25_44_lighting,S,train,lighting,25,Sx_25_44,True,130
best,Sx_25_44_lighting,S,train,lighting,25,Sx_25_44,True,135
stage2_best,Sx_25_44_lighting,S,train,lighting,25,Sx_25_44,True,135
native,Sx_25_44_combined,S,train,combined,25,Sx_25_44,True,155
best,Sx_25_44_combined,S,train,combined,25,Sx_25_44,True,165
stage2_best,Sx_25_44_combined,S,train,combined,25,Sx_25_44,True,135
native,Sx_30_22_normal,S,train,normal,30,Sx_30_22,True,110
best,Sx_30_22_normal,S,train,normal,30,Sx_30_22,True,110
stage2_best,Sx_30_22_normal,S,train,normal,30,Sx_30_22,True,215
native,Sx_30_22_camera,S,train,camera,30,Sx_30_22,True,80
best,Sx_30_22_camera,S,train,camera,30,Sx_30_22,True,70
stage2_best,Sx_30_22_camera,S,train,camera,30,Sx_30_22,True,70
native,Sx_30_22_lighting,S,train,lighting,30,Sx_30_22,True,110
best,Sx_30_22_lighting,S,train,lighting,30,Sx_30_22,True,110
stage2_best,Sx_30_22_lighting,S,train,lighting,30,Sx_30_22,True,185
native,Sx_30_22_combined,S,train,combined,30,Sx_30_22,True,80
best,Sx_30_22_combined,S,train,combined,30,Sx_30_22,True,75
stage2_best,Sx_30_22_combined,S,train,combined,30,Sx_30_22,True,75
native,Sx_30_26_normal,S,train,normal,30,Sx_30_26,True,85
best,Sx_30_26_normal,S,train,normal,30,Sx_30_26,True,110
stage2_best,Sx_30_26_normal,S,train,normal,30,Sx_30_26,True,95
native,Sx_30_26_camera,S,train,camera,30,Sx_30_26,True,80
best,Sx_30_26_camera,S,train,camera,30,Sx_30_26,True,85
stage2_best,Sx_30_26_camera,S,train,camera,30,Sx_30_26,True,85
native,Sx_30_26_lighting,S,train,lighting,30,Sx_30_26,True,85
best,Sx_30_26_lighting,S,train,lighting,30,Sx_30_26,True,85
stage2_best,Sx_30_26_lighting,S,train,lighting,30,Sx_30_26,True,85
native,Sx_30_26_combined,S,train,combined,30,Sx_30_26,False,300
best,Sx_30_26_combined,S,train,combined,30,Sx_30_26,True,115
stage2_best,Sx_30_26_combined,S,train,combined,30,Sx_30_26,True,80
native,Sx_30_34_normal,S,train,normal,30,Sx_30_34,True,80
best,Sx_30_34_normal,S,train,normal,30,Sx_30_34,True,115
stage2_best,Sx_30_34_normal,S,train,normal,30,Sx_30_34,True,80
native,Sx_30_34_camera,S,train,camera,30,Sx_30_34,True,85
best,Sx_30_34_camera,S,train,camera,30,Sx_30_34,True,85
stage2_best,Sx_30_34_camera,S,train,camera,30,Sx_30_34,True,90
native,Sx_30_34_lighting,S,train,lighting,30,Sx_30_34,True,80
best,Sx_30_34_lighting,S,train,lighting,30,Sx_30_34,True,85
stage2_best,Sx_30_34_lighting,S,train,lighting,30,Sx_30_34,True,80
native,Sx_30_34_combined,S,train,combined,30,Sx_30_34,True,135
best,Sx_30_34_combined,S,train,combined,30,Sx_30_34,True,80
stage2_best,Sx_30_34_combined,S,train,combined,30,Sx_30_34,True,90
native,Sx_30_44_normal,S,train,normal,30,Sx_30_44,True,80
best,Sx_30_44_normal,S,train,normal,30,Sx_30_44,True,80
stage2_best,Sx_30_44_normal,S,train,normal,30,Sx_30_44,True,80
native,Sx_30_44_camera,S,train,camera,30,Sx_30_44,False,300
best,Sx_30_44_camera,S,train,camera,30,Sx_30_44,True,75
stage2_best,Sx_30_44_camera,S,train,camera,30,Sx_30_44,True,80
native,Sx_30_44_lighting,S,train,lighting,30,Sx_30_44,True,80
best,Sx_30_44_lighting,S,train,lighting,30,Sx_30_44,True,80
stage2_best,Sx_30_44_lighting,S,train,lighting,30,Sx_30_44,True,80
native,Sx_30_44_combined,S,train,combined,30,Sx_30_44,True,190
best,Sx_30_44_combined,S,train,combined,30,Sx_30_44,True,75
stage2_best,Sx_30_44_combined,S,train,combined,30,Sx_30_44,True,80
native,Sx_35_22_normal,S,train,normal,35,Sx_35_22,True,100
best,Sx_35_22_normal,S,train,normal,35,Sx_35_22,True,105
stage2_best,Sx_35_22_normal,S,train,normal,35,Sx_35_22,True,110
native,Sx_35_22_camera,S,train,camera,35,Sx_35_22,True,105
best,Sx_35_22_camera,S,train,camera,35,Sx_35_22,True,110
stage2_best,Sx_35_22_camera,S,train,camera,35,Sx_35_22,True,110
native,Sx_35_22_lighting,S,train,lighting,35,Sx_35_22,True,100
best,Sx_35_22_lighting,S,train,lighting,35,Sx_35_22,True,105
stage2_best,Sx_35_22_lighting,S,train,lighting,35,Sx_35_22,True,105
native,Sx_35_22_combined,S,train,combined,35,Sx_35_22,True,105
best,Sx_35_22_combined,S,train,combined,35,Sx_35_22,True,125
stage2_best,Sx_35_22_combined,S,train,combined,35,Sx_35_22,True,115
native,Sx_35_26_normal,S,train,normal,35,Sx_35_26,True,105
best,Sx_35_26_normal,S,train,normal,35,Sx_35_26,True,120
stage2_best,Sx_35_26_normal,S,train,normal,35,Sx_35_26,True,110
native,Sx_35_26_camera,S,train,camera,35,Sx_35_26,True,115
best,Sx_35_26_camera,S,train,camera,35,Sx_35_26,True,120
stage2_best,Sx_35_26_camera,S,train,camera,35,Sx_35_26,True,120
native,Sx_35_26_lighting,S,train,lighting,35,Sx_35_26,True,110
best,Sx_35_26_lighting,S,train,lighting,35,Sx_35_26,True,120
stage2_best,Sx_35_26_lighting,S,train,lighting,35,Sx_35_26,True,110
native,Sx_35_26_combined,S,train,combined,35,Sx_35_26,True,120
best,Sx_35_26_combined,S,train,combined,35,Sx_35_26,True,120
stage2_best,Sx_35_26_combined,S,train,combined,35,Sx_35_26,True,115
native,Sx_35_34_normal,S,train,normal,35,Sx_35_34,True,105
best,Sx_35_34_normal,S,train,normal,35,Sx_35_34,True,110
stage2_best,Sx_35_34_normal,S,train,normal,35,Sx_35_34,True,110
native,Sx_35_34_camera,S,train,camera,35,Sx_35_34,True,110
best,Sx_35_34_camera,S,train,camera,35,Sx_35_34,True,115
stage2_best,Sx_35_34_camera,S,train,camera,35,Sx_35_34,True,120
native,Sx_35_34_lighting,S,train,lighting,35,Sx_35_34,True,135
best,Sx_35_34_lighting,S,train,lighting,35,Sx_35_34,True,110
stage2_best,Sx_35_34_lighting,S,train,lighting,35,Sx_35_34,True,110
native,Sx_35_34_combined,S,train,combined,35,Sx_35_34,True,110
best,Sx_35_34_combined,S,train,combined,35,Sx_35_34,True,115
stage2_best,Sx_35_34_combined,S,train,combined,35,Sx_35_34,True,120
native,Sx_35_44_normal,S,train,normal,35,Sx_35_44,True,115
best,Sx_35_44_normal,S,train,normal,35,Sx_35_44,True,120
stage2_best,Sx_35_44_normal,S,train,normal,35,Sx_35_44,True,120
native,Sx_35_44_camera,S,train,camera,35,Sx_35_44,True,125
best,Sx_35_44_camera,S,train,camera,35,Sx_35_44,True,170
stage2_best,Sx_35_44_camera,S,train,camera,35,Sx_35_44,True,145
native,Sx_35_44_lighting,S,train,lighting,35,Sx_35_44,True,110
best,Sx_35_44_lighting,S,train,lighting,35,Sx_35_44,True,125
stage2_best,Sx_35_44_lighting,S,train,lighting,35,Sx_35_44,True,125
native,Sx_35_44_combined,S,train,combined,35,Sx_35_44,True,125
best,Sx_35_44_combined,S,train,combined,35,Sx_35_44,True,265
stage2_best,Sx_35_44_combined,S,train,combined,35,Sx_35_44,True,155
native,Sx_01_22_normal,S,validation,normal,1,Sx_01_22,True,205
best,Sx_01_22_normal,S,validation,normal,1,Sx_01_22,True,230
stage2_best,Sx_01_22_normal,S,validation,normal,1,Sx_01_22,True,235
native,Sx_01_22_camera,S,validation,camera,1,Sx_01_22,False,500
best,Sx_01_22_camera,S,validation,camera,1,Sx_01_22,False,500
stage2_best,Sx_01_22_camera,S,validation,camera,1,Sx_01_22,True,290
native,Sx_01_22_lighting,S,validation,lighting,1,Sx_01_22,True,235
best,Sx_01_22_lighting,S,validation,lighting,1,Sx_01_22,True,220
stage2_best,Sx_01_22_lighting,S,validation,lighting,1,Sx_01_22,True,235
native,Sx_01_22_combined,S,validation,combined,1,Sx_01_22,True,305
best,Sx_01_22_combined,S,validation,combined,1,Sx_01_22,True,315
stage2_best,Sx_01_22_combined,S,validation,combined,1,Sx_01_22,False,500
native,Sx_01_26_normal,S,validation,normal,1,Sx_01_26,True,230
best,Sx_01_26_normal,S,validation,normal,1,Sx_01_26,True,250
stage2_best,Sx_01_26_normal,S,validation,normal,1,Sx_01_26,True,225
native,Sx_01_26_camera,S,validation,camera,1,Sx_01_26,False,500
best,Sx_01_26_camera,S,validation,camera,1,Sx_01_26,True,225
stage2_best,Sx_01_26_camera,S,validation,camera,1,Sx_01_26,True,225
native,Sx_01_26_lighting,S,validation,lighting,1,Sx_01_26,True,260
best,Sx_01_26_lighting,S,validation,lighting,1,Sx_01_26,True,250
stage2_best,Sx_01_26_lighting,S,validation,lighting,1,Sx_01_26,True,235
native,Sx_01_26_combined,S,validation,combined,1,Sx_01_26,False,500
best,Sx_01_26_combined,S,validation,combined,1,Sx_01_26,True,230
stage2_best,Sx_01_26_combined,S,validation,combined,1,Sx_01_26,False,500
native,Sx_01_34_normal,S,validation,normal,1,Sx_01_34,True,215
best,Sx_01_34_normal,S,validation,normal,1,Sx_01_34,False,500
stage2_best,Sx_01_34_normal,S,validation,normal,1,Sx_01_34,True,290
native,Sx_01_34_camera,S,validation,camera,1,Sx_01_34,False,500
best,Sx_01_34_camera,S,validation,camera,1,Sx_01_34,False,500
stage2_best,Sx_01_34_camera,S,validation,camera,1,Sx_01_34,True,270
native,Sx_01_34_lighting,S,validation,lighting,1,Sx_01_34,False,500
best,Sx_01_34_lighting,S,validation,lighting,1,Sx_01_34,True,225
stage2_best,Sx_01_34_lighting,S,validation,lighting,1,Sx_01_34,False,500
native,Sx_01_34_combined,S,validation,combined,1,Sx_01_34,False,500
best,Sx_01_34_combined,S,validation,combined,1,Sx_01_34,False,500
stage2_best,Sx_01_34_combined,S,validation,combined,1,Sx_01_34,True,210
native,Sx_01_44_normal,S,validation,normal,1,Sx_01_44,True,240
best,Sx_01_44_normal,S,validation,normal,1,Sx_01_44,False,500
stage2_best,Sx_01_44_normal,S,validation,normal,1,Sx_01_44,True,230
native,Sx_01_44_camera,S,validation,camera,1,Sx_01_44,False,500
best,Sx_01_44_camera,S,validation,camera,1,Sx_01_44,False,500
stage2_best,Sx_01_44_camera,S,validation,camera,1,Sx_01_44,False,500
native,Sx_01_44_lighting,S,validation,lighting,1,Sx_01_44,True,250
best,Sx_01_44_lighting,S,validation,lighting,1,Sx_01_44,False,500
stage2_best,Sx_01_44_lighting,S,validation,lighting,1,Sx_01_44,False,500
native,Sx_01_44_combined,S,validation,combined,1,Sx_01_44,False,500
best,Sx_01_44_combined,S,validation,combined,1,Sx_01_44,False,500
stage2_best,Sx_01_44_combined,S,validation,combined,1,Sx_01_44,False,500
native,Sx_06_22_normal,S,validation,normal,6,Sx_06_22,True,230
best,Sx_06_22_normal,S,validation,normal,6,Sx_06_22,True,230
stage2_best,Sx_06_22_normal,S,validation,normal,6,Sx_06_22,True,260
native,Sx_06_22_camera,S,validation,camera,6,Sx_06_22,True,265
best,Sx_06_22_camera,S,validation,camera,6,Sx_06_22,True,270
stage2_best,Sx_06_22_camera,S,validation,camera,6,Sx_06_22,True,410
native,Sx_06_22_lighting,S,validation,lighting,6,Sx_06_22,True,265
best,Sx_06_22_lighting,S,validation,lighting,6,Sx_06_22,True,230
stage2_best,Sx_06_22_lighting,S,validation,lighting,6,Sx_06_22,True,240
native,Sx_06_22_combined,S,validation,combined,6,Sx_06_22,True,265
best,Sx_06_22_combined,S,validation,combined,6,Sx_06_22,False,500
stage2_best,Sx_06_22_combined,S,validation,combined,6,Sx_06_22,True,305
native,Sx_06_26_normal,S,validation,normal,6,Sx_06_26,True,340
best,Sx_06_26_normal,S,validation,normal,6,Sx_06_26,True,255
stage2_best,Sx_06_26_normal,S,validation,normal,6,Sx_06_26,True,245
native,Sx_06_26_camera,S,validation,camera,6,Sx_06_26,True,260
best,Sx_06_26_camera,S,validation,camera,6,Sx_06_26,True,280
stage2_best,Sx_06_26_camera,S,validation,camera,6,Sx_06_26,True,280
native,Sx_06_26_lighting,S,validation,lighting,6,Sx_06_26,True,290
best,Sx_06_26_lighting,S,validation,lighting,6,Sx_06_26,True,300
stage2_best,Sx_06_26_lighting,S,validation,lighting,6,Sx_06_26,True,250
native,Sx_06_26_combined,S,validation,combined,6,Sx_06_26,False,500
best,Sx_06_26_combined,S,validation,combined,6,Sx_06_26,True,280
stage2_best,Sx_06_26_combined,S,validation,combined,6,Sx_06_26,True,280
