policy,case_id,kind,split,condition,task_index,layout,endpoint,steps
stage2_best,Hx_02_22_target1_visible,H,train,visible,26,Hx_02_22,True,5
native,Hx_02_22_target1_hidden,H,train,hidden,26,Hx_02_22,False,5
best,Hx_02_22_target1_hidden,H,train,hidden,26,Hx_02_22,True,5
stage2_best,Hx_02_22_target1_hidden,H,train,hidden,26,Hx_02_22,True,5
native,Hx_02_26_target0_visible,H,train,visible,26,Hx_02_26,True,5
best,Hx_02_26_target0_visible,H,train,visible,26,Hx_02_26,True,5
stage2_best,Hx_02_26_target0_visible,H,train,visible,26,Hx_02_26,True,5
native,Hx_02_26_target0_hidden,H,train,hidden,26,Hx_02_26,True,5
best,Hx_02_26_target0_hidden,H,train,hidden,26,Hx_02_26,True,5
stage2_best,Hx_02_26_target0_hidden,H,train,hidden,26,Hx_02_26,True,5
native,Hx_02_26_target1_visible,H,train,visible,26,Hx_02_26,True,5
best,Hx_02_26_target1_visible,H,train,visible,26,Hx_02_26,True,5
stage2_best,Hx_02_26_target1_visible,H,train,visible,26,Hx_02_26,True,5
native,Hx_02_26_target1_hidden,H,train,hidden,26,Hx_02_26,False,5
best,Hx_02_26_target1_hidden,H,train,hidden,26,Hx_02_26,True,5
stage2_best,Hx_02_26_target1_hidden,H,train,hidden,26,Hx_02_26,True,5
native,Hx_02_34_target0_visible,H,train,visible,26,Hx_02_34,True,5
best,Hx_02_34_target0_visible,H,train,visible,26,Hx_02_34,True,5
stage2_best,Hx_02_34_target0_visible,H,train,visible,26,Hx_02_34,True,5
native,Hx_02_34_target0_hidden,H,train,hidden,26,Hx_02_34,True,5
best,Hx_02_34_target0_hidden,H,train,hidden,26,Hx_02_34,True,5
stage2_best,Hx_02_34_target0_hidden,H,train,hidden,26,Hx_02_34,True,5
native,Hx_02_34_target1_visible,H,train,visible,26,Hx_02_34,True,5
best,Hx_02_34_target1_visible,H,train,visible,26,Hx_02_34,True,5
stage2_best,Hx_02_34_target1_visible,H,train,visible,26,Hx_02_34,True,5
native,Hx_02_34_target1_hidden,H,train,hidden,26,Hx_02_34,False,5
best,Hx_02_34_target1_hidden,H,train,hidden,26,Hx_02_34,True,5
stage2_best,Hx_02_34_target1_hidden,H,train,hidden,26,Hx_02_34,True,5
native,Hx_02_44_target0_visible,H,train,visible,26,Hx_02_44,True,5
best,Hx_02_44_target0_visible,H,train,visible,26,Hx_02_44,True,5
stage2_best,Hx_02_44_target0_visible,H,train,visible,26,Hx_02_44,True,5
native,Hx_02_44_target0_hidden,H,train,hidden,26,Hx_02_44,True,5
best,Hx_02_44_target0_hidden,H,train,hidden,26,Hx_02_44,True,5
stage2_best,Hx_02_44_target0_hidden,H,train,hidden,26,Hx_02_44,True,5
native,Hx_02_44_target1_visible,H,train,visible,26,Hx_02_44,True,5
best,Hx_02_44_target1_visible,H,train,visible,26,Hx_02_44,True,5
stage2_best,Hx_02_44_target1_visible,H,train,visible,26,Hx_02_44,True,5
native,Hx_02_44_target1_hidden,H,train,hidden,26,Hx_02_44,False,5
best,Hx_02_44_target1_hidden,H,train,hidden,26,Hx_02_44,True,5
stage2_best,Hx_02_44_target1_hidden,H,train,hidden,26,Hx_02_44,True,5
native,Hx_03_22_target0_visible,H,test,visible,27,Hx_03_22,True,5
best,Hx_03_22_target0_visible,H,test,visible,27,Hx_03_22,True,5
stage2_best,Hx_03_22_target0_visible,H,test,visible,27,Hx_03_22,True,5
native,Hx_03_22_target0_hidden,H,test,hidden,27,Hx_03_22,False,5
best,Hx_03_22_target0_hidden,H,test,hidden,27,Hx_03_22,True,5
stage2_best,Hx_03_22_target0_hidden,H,test,hidden,27,Hx_03_22,True,5
native,Hx_03_22_target1_visible,H,test,visible,27,Hx_03_22,True,5
best,Hx_03_22_target1_visible,H,test,visible,27,Hx_03_22,True,5
stage2_best,Hx_03_22_target1_visible,H,test,visible,27,Hx_03_22,True,5
native,Hx_03_22_target1_hidden,H,test,hidden,27,Hx_03_22,False,5
best,Hx_03_22_target1_hidden,H,test,hidden,27,Hx_03_22,True,5
stage2_best,Hx_03_22_target1_hidden,H,test,hidden,27,Hx_03_22,True,5
native,Hx_03_26_target0_visible,H,test,visible,27,Hx_03_26,True,5
best,Hx_03_26_target0_visible,H,test,visible,27,Hx_03_26,True,5
stage2_best,Hx_03_26_target0_visible,H,test,visible,27,Hx_03_26,True,5
native,Hx_03_26_target0_hidden,H,test,hidden,27,Hx_03_26,False,5
best,Hx_03_26_target0_hidden,H,test,hidden,27,Hx_03_26,True,5
stage2_best,Hx_03_26_target0_hidden,H,test,hidden,27,Hx_03_26,True,5
native,Hx_03_26_target1_visible,H,test,visible,27,Hx_03_26,True,5
best,Hx_03_26_target1_visible,H,test,visible,27,Hx_03_26,True,5
stage2_best,Hx_03_26_target1_visible,H,test,visible,27,Hx_03_26,True,5
native,Hx_03_26_target1_hidden,H,test,hidden,27,Hx_03_26,False,5
best,Hx_03_26_target1_hidden,H,test,hidden,27,Hx_03_26,True,5
stage2_best,Hx_03_26_target1_hidden,H,test,hidden,27,Hx_03_26,True,5
native,Hx_03_44_target0_visible,H,test,visible,27,Hx_03_44,True,5
best,Hx_03_44_target0_visible,H,test,visible,27,Hx_03_44,True,5
stage2_best,Hx_03_44_target0_visible,H,test,visible,27,Hx_03_44,True,5
native,Hx_03_44_target0_hidden,H,test,hidden,27,Hx_03_44,False,5
best,Hx_03_44_target0_hidden,H,test,hidden,27,Hx_03_44,True,5
stage2_best,Hx_03_44_target0_hidden,H,test,hidden,27,Hx_03_44,True,5
native,Hx_03_44_target1_visible,H,test,visible,27,Hx_03_44,True,5
best,Hx_03_44_target1_visible,H,test,visible,27,Hx_03_44,True,5
stage2_best,Hx_03_44_target1_visible,H,test,visible,27,Hx_03_44,True,5
native,Hx_03_44_target1_hidden,H,test,hidden,27,Hx_03_44,False,5
best,Hx_03_44_target1_hidden,H,test,hidden,27,Hx_03_44,True,5
stage2_best,Hx_03_44_target1_hidden,H,test,hidden,27,Hx_03_44,True,5
