kind,task_index,source,our_training_split,target_object,condition,policy,correct_or_successful,episodes,scope_complete
S,0,libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo,train,,lighting,best,4,4,True
S,0,libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo,train,,lighting,native,4,4,True
S,0,libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo,train,,normal,best,4,4,True
S,0,libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo,train,,normal,native,4,4,True
S,1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,,camera,best,1,4,True
S,1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,,camera,native,0,4,True
S,1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,,combined,best,2,4,True
S,1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,,combined,native,1,4,True
S,1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,,lighting,best,3,4,True
S,1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,,lighting,native,3,4,True
S,1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,,normal,best,2,4,True
S,1,libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo,validation,,normal,native,4,4,True
S,2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,,camera,best,0,4,True
S,2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,,camera,native,2,4,True
S,2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,,combined,best,0,4,True
S,2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,,combined,native,2,4,True
S,2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,,lighting,best,2,4,True
S,2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,,lighting,native,3,4,True
S,2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,,normal,best,3,4,True
S,2,libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo,test,,normal,native,3,4,True
S,3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,,camera,best,2,4,True
S,3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,,camera,native,1,4,True
S,3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,,combined,best,3,4,True
S,3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,,combined,native,1,4,True
S,3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,,lighting,best,4,4,True
S,3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,,lighting,native,1,4,True
S,3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,,normal,best,3,4,True
S,3,libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo,test,,normal,native,3,4,True
S,4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,,camera,best,4,4,True
S,4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,,camera,native,3,4,True
S,4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,,combined,best,3,4,True
S,4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,,combined,native,2,4,True
S,4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,,lighting,best,4,4,True
S,4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,,lighting,native,4,4,True
S,4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,,normal,best,4,4,True
S,4,libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo,train,,normal,native,4,4,True
S,5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,,camera,best,4,4,True
S,5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,,camera,native,4,4,True
S,5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,,combined,best,4,4,True
S,5,libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo,validation,,combined,native,4,4,True
