kind,task_index,source,our_training_split,target_object,condition,policy,correct_or_successful,episodes,scope_complete
S,24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,,camera,native,3,4,True
S,24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,,combined,best,4,4,True
S,24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,,combined,native,2,4,True
S,24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,,lighting,best,4,4,True
S,24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,,lighting,native,4,4,True
S,24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,,normal,best,4,4,True
S,24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,,normal,native,4,4,True
S,25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,,camera,best,4,4,True
S,25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,,camera,native,4,4,True
S,25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,,combined,best,4,4,True
S,25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,,combined,native,4,4,True
S,25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,,lighting,best,4,4,True
S,25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,,lighting,native,4,4,True
S,25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,,normal,best,4,4,True
S,25,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_demo,train,,normal,native,4,4,True
S,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,,camera,best,4,4,True
S,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,,camera,native,4,4,True
S,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,,combined,best,4,4,True
S,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,,combined,native,4,4,True
S,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,,lighting,best,4,4,True
S,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,,lighting,native,4,4,True
S,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,,normal,best,4,4,True
S,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,,normal,native,4,4,True
S,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,,camera,best,4,4,True
S,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,,camera,native,4,4,True
S,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,,combined,best,4,4,True
S,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,,combined,native,4,4,True
S,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,,lighting,best,4,4,True
S,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,,lighting,native,4,4,True
S,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,,normal,best,4,4,True
S,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,,normal,native,4,4,True
S,28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,,camera,best,4,4,True
S,28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,,camera,native,2,4,True
S,28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,,combined,best,4,4,True
S,28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,,combined,native,3,4,True
S,28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,,lighting,best,4,4,True
S,28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,,lighting,native,4,4,True
S,28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,,normal,best,4,4,True
S,28,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,train,,normal,native,4,4,True
S,29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,,camera,best,4,4,True
S,29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,,camera,native,4,4,True
S,29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,,combined,best,4,4,True
S,29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,,combined,native,3,4,True
S,29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,,lighting,best,4,4,True
S,29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,,lighting,native,4,4,True
S,29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,,normal,best,4,4,True
S,29,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo,train,,normal,native,4,4,True
S,30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,,camera,best,4,4,True
S,30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,,camera,native,3,4,True
S,30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,,combined,best,4,4,True
S,30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,,combined,native,3,4,True
S,30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,,lighting,best,4,4,True
S,30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,,lighting,native,4,4,True
S,30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,,normal,best,4,4,True
S,30,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,train,,normal,native,4,4,True
S,31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,,camera,best,4,4,True
S,31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,,camera,native,4,4,True
S,31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,,combined,best,4,4,True
S,31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,,combined,native,4,4,True
S,31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,,lighting,best,4,4,True
S,31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,,lighting,native,4,4,True
S,31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,,normal,best,4,4,True
S,31,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,train,,normal,native,4,4,True
S,32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,camera,best,3,4,True
S,32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,camera,native,3,4,True
S,32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,combined,best,3,4,True
S,32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,combined,native,3,4,True
S,32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,lighting,best,4,4,True
S,32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,lighting,native,4,4,True
S,32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,normal,best,3,4,True
S,32,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,normal,native,4,4,True
S,33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,,camera,best,4,4,True
S,33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,,camera,native,4,4,True
S,33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,,combined,best,4,4,True
S,33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,,combined,native,4,4,True
S,33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,,lighting,best,4,4,True
S,33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,,lighting,native,4,4,True
S,33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,,normal,best,4,4,True
S,33,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo,train,,normal,native,4,4,True
S,34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,,camera,best,4,4,True
S,34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,,camera,native,4,4,True
S,34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,,combined,best,3,4,True
S,34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,,combined,native,4,4,True
S,34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,,lighting,best,4,4,True
S,34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,,lighting,native,4,4,True
S,34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,,normal,best,4,4,True
S,34,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,train,,normal,native,4,4,True
S,35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,,camera,best,4,4,True
S,35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,,camera,native,4,4,True
S,35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,,combined,best,4,4,True
S,35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,,combined,native,4,4,True
S,35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,,lighting,best,4,4,True
S,35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,,lighting,native,4,4,True
S,35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,,normal,best,4,4,True
S,35,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,train,,normal,native,4,4,True
S,36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,,camera,best,4,4,True
S,36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,,camera,native,4,4,True
S,36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,,combined,best,4,4,True
S,36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,,combined,native,4,4,True
S,36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,,lighting,best,4,4,True
S,36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,,lighting,native,4,4,True
S,36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,,normal,best,4,4,True
S,36,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,train,,normal,native,4,4,True
S,37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,,camera,best,4,4,True
S,37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,,camera,native,1,4,True
S,37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,,combined,best,4,4,True
S,37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,,combined,native,1,4,True
S,37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,,lighting,best,3,4,True
S,37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,,lighting,native,3,4,True
S,37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,,normal,best,3,4,True
S,37,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,train,,normal,native,3,4,True
S,38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,,camera,best,4,4,True
S,38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,,camera,native,4,4,True
S,38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,,combined,best,4,4,True
S,38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,,combined,native,4,4,True
S,38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,,lighting,best,4,4,True
S,38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,,lighting,native,4,4,True
S,38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,,normal,best,4,4,True
S,38,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,train,,normal,native,4,4,True
S,39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,camera,best,4,4,True
S,39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,camera,native,4,4,True
S,39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,combined,best,4,4,True
S,39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,combined,native,4,4,True
S,39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,lighting,best,4,4,True
S,39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,lighting,native,4,4,True
S,39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,normal,best,4,4,True
S,39,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,train,,normal,native,4,4,True
