kind,case_id,layout,task_index,our_training_split,target_object,condition,policy,correct_or_successful,control_steps,wall_seconds,axis_displacement_m,target_index,manual_seed
H,Hx_05_44_target1_visible,Hx_05_44,9,test,black_book_1,visible,best,True,5,8.761128873564303,0.01687324039268956,1,12261
H,Hx_05_44_target1_hidden,Hx_05_44,9,test,black_book_1,hidden,native,False,5,8.376355888321996,0.00033221525291565746,1,12261
H,Hx_05_44_target1_hidden,Hx_05_44,9,test,black_book_1,hidden,best,True,5,8.543525157496333,0.019514093806303007,1,12261
P,Px_00_22_normal,Px_00_22,13,train,akita_black_bowl_1,normal,native,True,75,15.22671603038907,,,16239
P,Px_00_22_normal,Px_00_22,13,train,akita_black_bowl_1,normal,best,True,80,18.069723742082715,,,16239
P,Px_00_22_minus_y,Px_00_22,13,train,akita_black_bowl_1,minus_y,native,True,70,14.5254973648116,,,16239
P,Px_00_22_minus_y,Px_00_22,13,train,akita_black_bowl_1,minus_y,best,True,75,17.40472633112222,,,16239
P,Px_00_22_plus_y,Px_00_22,13,train,akita_black_bowl_1,plus_y,native,True,80,15.562621617689729,,,16239
P,Px_00_22_plus_y,Px_00_22,13,train,akita_black_bowl_1,plus_y,best,True,90,19.375896212644875,,,16239
P,Px_00_26_normal,Px_00_26,13,train,akita_black_bowl_1,normal,native,True,80,15.404222007840872,,,16243
P,Px_00_26_normal,Px_00_26,13,train,akita_black_bowl_1,normal,best,True,95,20.330935965292156,,,16243
P,Px_00_26_minus_y,Px_00_26,13,train,akita_black_bowl_1,minus_y,native,True,75,15.006736086681485,,,16243
P,Px_00_26_minus_y,Px_00_26,13,train,akita_black_bowl_1,minus_y,best,True,85,19.183446035720408,,,16243
P,Px_00_26_plus_y,Px_00_26,13,train,akita_black_bowl_1,plus_y,native,True,115,19.28720857296139,,,16243
P,Px_00_26_plus_y,Px_00_26,13,train,akita_black_bowl_1,plus_y,best,True,90,19.55323292594403,,,16243
P,Px_00_34_normal,Px_00_34,13,train,akita_black_bowl_1,normal,native,True,75,15.028346601873636,,,16251
P,Px_00_34_normal,Px_00_34,13,train,akita_black_bowl_1,normal,best,True,75,17.409952643327415,,,16251
