policy,case_id,task_index,source,our_training_split,condition,episode,manual_seed,success,control_steps,max_steps,penalized_horizon_fraction,wall_seconds,peak_allocated_gib
best,S_01_30_lighting,1,data/libero_raw/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo.hdf5,test,lighting,demo_30,2247,True,275,500,0.55,46.83900067117065,12.534913539886475
best,S_01_30_combined,1,data/libero_raw/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo.hdf5,test,combined,demo_30,2247,True,320,500,0.64,53.01855822931975,12.534913539886475
best,S_01_40_normal,1,data/libero_raw/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo.hdf5,test,normal,demo_40,2257,False,500,500,1.0,78.97019196487963,12.534913539886475
best,S_01_40_camera,1,data/libero_raw/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo.hdf5,test,camera,demo_40,2257,False,500,500,1.0,78.89048535842448,12.534913539886475
best,S_01_40_lighting,1,data/libero_raw/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo.hdf5,test,lighting,demo_40,2257,False,500,500,1.0,78.61228117812425,12.534913539886475
best,S_01_40_combined,1,data/libero_raw/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo.hdf5,test,combined,demo_40,2257,True,365,500,0.73,59.851245280355215,12.534913539886475
best,S_02_30_normal,2,data/libero_raw/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo.hdf5,test,normal,demo_30,3247,True,440,500,0.88,68.36170524265617,12.534894466400146
best,S_02_30_camera,2,data/libero_raw/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo.hdf5,test,camera,demo_30,3247,False,500,500,1.0,77.3924625441432,12.534894466400146
best,S_02_30_lighting,2,data/libero_raw/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo.hdf5,test,lighting,demo_30,3247,True,395,500,0.79,61.53752690367401,12.534894466400146
best,S_02_30_combined,2,data/libero_raw/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo.hdf5,test,combined,demo_30,3247,False,500,500,1.0,77.1491752807051,12.534894466400146
best,S_02_40_normal,2,data/libero_raw/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo.hdf5,test,normal,demo_40,3257,True,380,500,0.76,59.114281019195914,12.534894466400146
best,S_02_40_camera,2,data/libero_raw/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo.hdf5,test,camera,demo_40,3257,True,370,500,0.74,58.19554466288537,12.534894466400146
best,S_02_40_lighting,2,data/libero_raw/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo.hdf5,test,lighting,demo_40,3257,True,380,500,0.76,59.283643753267825,12.534894466400146
best,S_02_40_combined,2,data/libero_raw/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo.hdf5,test,combined,demo_40,3257,True,445,500,0.89,69.12893589958549,12.534894466400146
best,S_03_30_normal,3,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo.hdf5,validation,normal,demo_30,4247,True,270,500,0.54,48.90977254975587,12.534913539886475
best,S_03_30_camera,3,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo.hdf5,validation,camera,demo_30,4247,True,260,500,0.52,46.90806673467159,12.534913539886475
best,S_03_30_lighting,3,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo.hdf5,validation,lighting,demo_30,4247,True,280,500,0.56,49.97106493357569,12.534913539886475
