model_kind,effect_weight,steps,manual_seed,training_cases,blind,parameters,seconds,peak_allocated_bytes,source_report,split,family,episodes,loss,copy_gain,action_variance_explained
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,train,scene_20,27,0.15194846579322108,0.09343398140586978,-7.589346262548702e-09
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_01,4,0.10785946249961853,0.05452909378350512,0.0
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_02,4,0.19002672657370567,0.060522460560246016,0.0
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_03,4,0.26930900290608406,0.046283899921576,-3.090704425723345e-08
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_09,4,0.11305568553507328,0.057289763804109106,0.0
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_10,4,0.13958118110895157,0.05553462613346416,-2.0544096424046643e-08
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_12,4,0.07939016073942184,0.06486919604992103,-2.825047884513765e-08
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_16,4,0.07103226892650127,0.043430459038839575,0.0
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_19,4,0.07226159423589706,0.045866811385127826,0.0
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_20,4,0.18762454763054848,0.09248291464215963,0.0
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,development,scene_13,12,0.0765569709862272,0.04634821874425843,-9.504316000885638e-09
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,development,scene_21,12,0.08650212610761325,0.046511317150478626,0.0
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,train,scene_01,28,0.08504617679864168,0.15838765648158515,0.1284080397721773
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,train,scene_02,28,0.10355573826070343,0.1639324573984834,0.13315087218128396
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,train,scene_03,28,0.19284614641219378,0.14332180408208273,0.07728131459549936
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,train,scene_09,28,0.08128346502780914,0.1394492293121783,0.10037772137677614
