manual_seed,loss,copy_gain,blind_gain,wrong_cost,action_variance_explained,beats_copy_10_percent,beats_blind_5_percent,wrong_action_cost_5_percent,explains_action_variance_10_percent
17,0.1366898509570294,0.07308433627523059,0.014356370809366914,0.10057261861753752,0.04310719352855419,False,False,True,False
29,0.1353776939213276,0.08198228225397786,0.02501800722220604,0.1070857327937198,0.047296474446653525,False,False,True,False
43,0.13546204049554136,0.08141031469184445,0.016124137923767434,0.0970247714735406,0.05770016611815065,False,False,True,False
