model_kind,effect_weight,steps,manual_seed,training_cases,blind,parameters,seconds,peak_allocated_bytes,source_report,split,loss,swapped_loss,copy_loss,action_mse,target_action_mse,action_variance_explained,copy_relative_gain
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,development,0.08171990405147274,0.08171990405147274,0.08549970590199034,0.13571496059497198,0.1357149596636494,-6.862342694091694e-09,0.04420836084337465
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,id_development,0.13677584752440453,0.13677584752440453,0.14534188672486278,0.14018034955693615,0.14018034914301503,-2.9527755796010524e-09,0.05893716803521387
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,train,0.11197454619407654,0.11197454619407654,0.12225065898895264,0.13480228133499622,0.1348022806495428,-5.084880072558917e-09,0.08405772925775978
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,development,0.08152954854692022,0.08152954854692022,0.08549970590199034,0.13571496028453112,0.1357149596636494,-4.574895129394463e-09,0.04643474867178099
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,0.13668229223953354,0.13668229223953354,0.14534188672486278,0.14018035038477844,0.14018034914301503,-8.858327404936972e-09,0.059580859176007195
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,train,0.11212020215392113,0.11212020215392113,0.12225065898895264,0.1348022813051939,0.1348022806495428,-4.863798253040841e-09,0.08286627588606266
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,development,0.07520304480567575,0.0926490204098324,0.08549970590199034,0.12243036180734634,0.1357149596636494,0.09788602442374139,0.120429198997688
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,id_development,0.1312772525060508,0.1467384049254987,0.14534188672486278,0.1302290703687403,0.14018034914301503,0.0709891139172597,0.09676931086932172
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,train,0.10375893308222293,0.12526470768451692,0.12225065898895264,0.11838177830725909,0.1348022806495428,0.12181175469110594,0.15126074623778296
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,development,0.07399494852870703,0.08923332905396819,0.08549970590199034,0.12111095959941547,0.1357149596636494,0.10760788715133485,0.13455902861784574
