model,mean_loss,copy_loss,pair_assignment_accuracy,pair_tie_fraction,wrong_minus_correct,separation_ratio,explained_action_variance,mean_component_mse,action_component_mse,target_action_mse
original stage2 best,0.34981659551461536,0.082514563575387,0.6055555555555555,0.05555555555555555,5.606313546498617e-06,0.004466443962484353,5.271132379358612e-05,0.6670626501242319,0.13208168682952723,0.13208864939709505
effect_fits/jobs/job_003.pt,0.09781133259336154,0.082514563575387,0.8777777777777778,0.0,0.0032897821110155845,0.18621288725534169,0.003821382955330521,0.08407344296574593,0.13158388808369637,0.13208864939709505
effect_fits/jobs/job_007.pt,0.09922083715597789,0.082514563575387,0.8166666666666667,0.0,0.0012876524693436094,0.09980777967962187,0.00348503450826676,0.0871273238832752,0.13162831589579582,0.13208864939709505
effect_fits/jobs/job_009.pt,0.09886392888923486,0.082514563575387,0.0,1.0,-1.3659397761027017e-09,0.0,0.0,0.08636684374262889,0.13208864939709505,0.13208864939709505
effect_fits/jobs/job_013.pt,0.10242136133213837,0.082514563575387,0.8944444444444445,0.0,0.004308569307128588,0.20707337913032764,0.0028476994198197714,0.09314690964917342,0.13171250062684217,0.13208864939709505
effect_fits/jobs/job_002.pt,0.09463362768292427,0.082514563575387,0.7611111111111111,0.0,0.001256370378865136,0.09488972245699222,0.0058702148591868175,0.077806298310558,0.1313132606446743,0.13208864939709505
effect_fits/jobs/job_004.pt,0.09414058054486911,0.082514563575387,0.0,1.0,7.243620024787055e-10,0.0,-9.40098510149312e-09,0.07646208597968022,0.13208865063885847,0.13208864939709505
effect_fits/jobs/job_008.pt,0.10140158918996652,0.082514563575387,0.8722222222222222,0.0,0.0034828175894088217,0.17290208099750345,0.012593827648759048,0.09276178851723671,0.13042514771223068,0.13208864939709505
effect_fits/jobs/job_012.pt,0.09803913036982219,0.082514563575387,0.7888888888888889,0.0,0.0011422579280204242,0.09343575802817122,0.004309336389581198,0.08466166444122791,0.13151943497359753,0.13208864939709505
effect_fits/jobs/job_014.pt,0.0966748334467411,0.082514563575387,0.0,1.0,-5.794896019829644e-10,0.0,0.0,0.08166451131304105,0.13208864939709505,0.13208864939709505
